,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
95,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
96,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
97,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
98,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
99,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
100,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
101,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
102,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
103,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
104,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
